id,title,description,link,image_link,additional_image_link,availability,price,sale_price,brand,gtin,mpn,condition,google_product_category,product_type,item_group_id,color,size,material,quantity
NA-TSHI-0001,Coastal V-Neck Tee – Forest Green,"The Coastal V-Neck Tee from Northwind Apparel, crafted in cotton blend, for an easy, everyday layer that pairs with anything. Shown in Forest Green.",https://northwind-apparel.example.com/products/na-tshi-0001,/mock-catalog/images/northwind-apparel/NA-TSHI-0001.jpg,,in_stock,36.02 USD,,Northwind Studio,,NA-TSHI-0001,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-001,Forest Green,XL,Cotton Blend,233
NA-TSHI-0002,Heritage Long-Sleeve Tee – Navy,"The Heritage Long-Sleeve Tee from Northwind Apparel, crafted in organic cotton, for an easy, everyday layer that pairs with anything. Shown in Navy.",https://northwind-apparel.example.com/products/na-tshi-0002,/mock-catalog/images/northwind-apparel/NA-TSHI-0002.jpg,,in_stock,19.73 USD,,Northwind Studio,,NA-TSHI-0002,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-001,Navy,XXL,Organic Cotton,34
NA-TSHI-0003,Luxe Pocket Tee – Terracotta,"The Luxe Pocket Tee from Northwind Apparel, crafted in cotton blend, for an easy, everyday layer that pairs with anything. Shown in Terracotta.",https://northwind-apparel.example.com/products/na-tshi-0003,/mock-catalog/images/northwind-apparel/NA-TSHI-0003.jpg,,in_stock,41.39 USD,34.71 USD,Northwind Studio,,NA-TSHI-0003,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-002,Terracotta,XXL,Cotton Blend,56
NA-TSHI-0004,Classic Long-Sleeve Tee – Forest Green,"The Classic Long-Sleeve Tee from Northwind Apparel, crafted in cotton blend, for an easy, everyday layer that pairs with anything. Shown in Forest Green.",https://northwind-apparel.example.com/products/na-tshi-0004,/mock-catalog/images/northwind-apparel/NA-TSHI-0004.jpg,,in_stock,39.99 USD,,Northwind Studio,,NA-TSHI-0004,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-002,Forest Green,XS,Cotton Blend,40
NA-TSHI-0005,Signature V-Neck Tee – Olive,"The Signature V-Neck Tee from Northwind Apparel, crafted in cotton blend, for an easy, everyday layer that pairs with anything. Shown in Olive.",https://northwind-apparel.example.com/products/na-tshi-0005,/mock-catalog/images/northwind-apparel/NA-TSHI-0005.jpg,,in_stock,32.58 USD,26.99 USD,Northwind,,NA-TSHI-0005,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-003,Olive,XL,Cotton Blend,91
NA-TSHI-0006,Everyday Henley – Slate Gray,"The Everyday Henley from Northwind Apparel, crafted in linen, for an easy, everyday layer that pairs with anything. Shown in Slate Gray.",https://northwind-apparel.example.com/products/na-tshi-0006,/mock-catalog/images/northwind-apparel/NA-TSHI-0006.jpg,,in_stock,38.86 USD,,Northwind,,NA-TSHI-0006,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-003,Slate Gray,XXL,Linen,158
NA-TSHI-0007,Coastal Long-Sleeve Tee – Cream,"The Coastal Long-Sleeve Tee from Northwind Apparel, crafted in organic cotton, for an easy, everyday layer that pairs with anything. Shown in Cream.",https://northwind-apparel.example.com/products/na-tshi-0007,/mock-catalog/images/northwind-apparel/NA-TSHI-0007.jpg,,in_stock,20.95 USD,,NW Active,,NA-TSHI-0007,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-004,Cream,L,Organic Cotton,82
NA-TSHI-0008,Trail Long-Sleeve Tee – Charcoal,"The Trail Long-Sleeve Tee from Northwind Apparel, crafted in organic cotton, for an easy, everyday layer that pairs with anything. Shown in Charcoal.",https://northwind-apparel.example.com/products/na-tshi-0008,/mock-catalog/images/northwind-apparel/NA-TSHI-0008.jpg,,in_stock,34.67 USD,,Northwind,,NA-TSHI-0008,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-004,Charcoal,XL,Organic Cotton,241
NA-TSHI-0009,Minimalist Pocket Tee – Burgundy,"The Minimalist Pocket Tee from Northwind Apparel, crafted in cotton blend, for an easy, everyday layer that pairs with anything. Shown in Burgundy.",https://northwind-apparel.example.com/products/na-tshi-0009,/mock-catalog/images/northwind-apparel/NA-TSHI-0009.jpg,,in_stock,33.41 USD,,NW Active,,NA-TSHI-0009,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-005,Burgundy,XXL,Cotton Blend,55
NA-TSHI-0010,Terra V-Neck Tee – Cream,"The Terra V-Neck Tee from Northwind Apparel, crafted in organic cotton, for an easy, everyday layer that pairs with anything. Shown in Cream.",https://northwind-apparel.example.com/products/na-tshi-0010,/mock-catalog/images/northwind-apparel/NA-TSHI-0010.jpg,,in_stock,25.41 USD,,Northwind,,NA-TSHI-0010,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-005,Cream,XL,Organic Cotton,85
NA-TSHI-0011,Luxe Henley – Forest Green,"The Luxe Henley from Northwind Apparel, crafted in cotton blend, for an easy, everyday layer that pairs with anything. Shown in Forest Green.",https://northwind-apparel.example.com/products/na-tshi-0011,/mock-catalog/images/northwind-apparel/NA-TSHI-0011.jpg,,in_stock,38.91 USD,,NW Active,,NA-TSHI-0011,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-006,Forest Green,L,Cotton Blend,15
NA-TSHI-0012,Modern V-Neck Tee – White,"The Modern V-Neck Tee from Northwind Apparel, crafted in organic cotton, for an easy, everyday layer that pairs with anything. Shown in White.",https://northwind-apparel.example.com/products/na-tshi-0012,/mock-catalog/images/northwind-apparel/NA-TSHI-0012.jpg,,in_stock,37.75 USD,29.76 USD,NW Active,,NA-TSHI-0012,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-006,White,M,Organic Cotton,120
NA-TSHI-0013,Terra Long-Sleeve Tee – Blush Pink,"The Terra Long-Sleeve Tee from Northwind Apparel, crafted in linen, for an easy, everyday layer that pairs with anything. Shown in Blush Pink.",https://northwind-apparel.example.com/products/na-tshi-0013,/mock-catalog/images/northwind-apparel/NA-TSHI-0013.jpg,,in_stock,35.03 USD,,Northwind Studio,,NA-TSHI-0013,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-007,Blush Pink,M,Linen,212
NA-TSHI-0014,Rugged Long-Sleeve Tee – Sand,"The Rugged Long-Sleeve Tee from Northwind Apparel, crafted in organic cotton, for an easy, everyday layer that pairs with anything. Shown in Sand.",https://northwind-apparel.example.com/products/na-tshi-0014,/mock-catalog/images/northwind-apparel/NA-TSHI-0014.jpg,,in_stock,33.81 USD,26.53 USD,Northwind,,NA-TSHI-0014,new,Apparel & Accessories > Clothing > Shirts & Tops,Apparel > Tops > T-Shirts,NA-TSHI-GRP-007,Sand,L,Organic Cotton,138
