id,title,description,link,brand,gtin,mpn,image_link,additional_image_link,video_link,model_3d_link,condition,google_product_category,product_category,age_group,material,length,width,height,weight,item_group_id,item_group_title,color,size,size_system,gender,availability,availability_date,expiration_date,inventory_not_tracked,inventory_quantity,price,sale_price,sale_price_effective_date,stripe_product_tax_code,tax_behavior,applicable_fees,shipping,free_shipping_threshold,delete
HAH-CAND-0001,Premium Travel Tin Candle,"The Premium Travel Tin Candle from Harbor & Home, crafted in coconut wax, fills the room with a warm, inviting scent.",https://harbor-and-home.example.com/products/hah-cand-0001,Harbor & Home,,HAH-CAND-0001,https://livgpt.vercel.app/mock-catalog/images/harbor-and-home/candles-1.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Coconut Wax,4 in,4 in,5 in,1.13 lb,HAH-CAND-GRP-001,Candles,,,,unisex,in_stock,,,,75,44.59 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
HAH-CAND-0002,Featherlight Wood-Wick Candle,"The Featherlight Wood-Wick Candle from Harbor & Home, crafted in soy wax, fills the room with a warm, inviting scent.",https://harbor-and-home.example.com/products/hah-cand-0002,Harbor & Home,,HAH-CAND-0002,https://livgpt.vercel.app/mock-catalog/images/harbor-and-home/candles-2.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Soy Wax,4 in,4 in,5 in,1.32 lb,HAH-CAND-GRP-001,Candles,,,,unisex,in_stock,,,,167,20.49 USD,17.86 USD,2026-07-01/2026-12-31,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
HAH-CAND-0003,Trail Wood-Wick Candle,"The Trail Wood-Wick Candle from Harbor & Home, crafted in soy wax, fills the room with a warm, inviting scent.",https://harbor-and-home.example.com/products/hah-cand-0003,Harbor Living,,HAH-CAND-0003,https://livgpt.vercel.app/mock-catalog/images/harbor-and-home/candles-3.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Soy Wax,4 in,4 in,5 in,1.19 lb,HAH-CAND-GRP-002,Candles,,,,unisex,in_stock,,,,180,23.30 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
HAH-CAND-0004,Minimalist 3-Wick Candle,"The Minimalist 3-Wick Candle from Harbor & Home, crafted in coconut wax, fills the room with a warm, inviting scent.",https://harbor-and-home.example.com/products/hah-cand-0004,Harbor Living,,HAH-CAND-0004,https://livgpt.vercel.app/mock-catalog/images/harbor-and-home/candles-1.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Coconut Wax,4 in,4 in,5 in,1.22 lb,HAH-CAND-GRP-002,Candles,,,,unisex,in_stock,,,,15,44.69 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
HAH-CAND-0005,Minimalist Wood-Wick Candle,"The Minimalist Wood-Wick Candle from Harbor & Home, crafted in soy wax, fills the room with a warm, inviting scent.",https://harbor-and-home.example.com/products/hah-cand-0005,Harbor Living,,HAH-CAND-0005,https://livgpt.vercel.app/mock-catalog/images/harbor-and-home/candles-2.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Soy Wax,4 in,4 in,5 in,1.22 lb,HAH-CAND-GRP-003,Candles,,,,unisex,in_stock,,,,121,49.24 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
HAH-CAND-0006,Pro Wood-Wick Candle,"The Pro Wood-Wick Candle from Harbor & Home, crafted in soy wax, fills the room with a warm, inviting scent.",https://harbor-and-home.example.com/products/hah-cand-0006,Harbor Living,,HAH-CAND-0006,https://livgpt.vercel.app/mock-catalog/images/harbor-and-home/candles-3.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Soy Wax,4 in,4 in,5 in,1.08 lb,HAH-CAND-GRP-003,Candles,,,,unisex,in_stock,,,,184,47.40 USD,39.10 USD,2026-07-01/2026-12-31,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
HAH-CAND-0007,Nova Wood-Wick Candle,"The Nova Wood-Wick Candle from Harbor & Home, crafted in soy wax, fills the room with a warm, inviting scent.",https://harbor-and-home.example.com/products/hah-cand-0007,Hearthstone,,HAH-CAND-0007,https://livgpt.vercel.app/mock-catalog/images/harbor-and-home/candles-1.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Soy Wax,4 in,4 in,5 in,1.1 lb,HAH-CAND-GRP-004,Candles,,,,unisex,in_stock,,,,155,47.77 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
HAH-CAND-0008,Classic Travel Tin Candle,"The Classic Travel Tin Candle from Harbor & Home, crafted in coconut wax, fills the room with a warm, inviting scent.",https://harbor-and-home.example.com/products/hah-cand-0008,Harbor Living,,HAH-CAND-0008,https://livgpt.vercel.app/mock-catalog/images/harbor-and-home/candles-2.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Coconut Wax,4 in,4 in,5 in,1.31 lb,HAH-CAND-GRP-004,Candles,,,,unisex,in_stock,,,,226,40.81 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
HAH-CAND-0009,Rugged 3-Wick Candle,"The Rugged 3-Wick Candle from Harbor & Home, crafted in soy wax, fills the room with a warm, inviting scent.",https://harbor-and-home.example.com/products/hah-cand-0009,Hearthstone,,HAH-CAND-0009,https://livgpt.vercel.app/mock-catalog/images/harbor-and-home/candles-3.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Soy Wax,4 in,4 in,5 in,1.3 lb,HAH-CAND-GRP-005,Candles,,,,unisex,in_stock,,,,60,42.29 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
HAH-CAND-0010,Rugged Travel Tin Candle,"The Rugged Travel Tin Candle from Harbor & Home, crafted in soy wax, fills the room with a warm, inviting scent.",https://harbor-and-home.example.com/products/hah-cand-0010,Harbor Living,,HAH-CAND-0010,https://livgpt.vercel.app/mock-catalog/images/harbor-and-home/candles-1.png,,,,new,Home & Garden > Decor > Home Fragrances > Candles,Home > Fragrance > Candles,adult,Soy Wax,4 in,4 in,5 in,1.1 lb,HAH-CAND-GRP-005,Candles,,,,unisex,in_stock,,,,207,27.26 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
