id,title,description,link,image_link,additional_image_link,availability,price,sale_price,brand,gtin,mpn,condition,google_product_category,product_type,item_group_id,color,size,material,quantity
LB-SKIN-0001,Rugged Eye Cream,"The Rugged Eye Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0001,/mock-catalog/images/lumen-beauty/skincare-1.png,,in_stock,33.13 USD,,Lumen,,LB-SKIN-0001,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,LB-SKIN-GRP-001,,,,71
LB-SKIN-0002,Alpine Gentle Cleanser,"The Alpine Gentle Cleanser from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0002,/mock-catalog/images/lumen-beauty/skincare-2.png,,in_stock,34.72 USD,,Lumen Skin,,LB-SKIN-0002,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,LB-SKIN-GRP-001,,,,144
LB-SKIN-0003,Essential Vitamin C Serum,"The Essential Vitamin C Serum from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0003,/mock-catalog/images/lumen-beauty/skincare-3.png,,in_stock,20.69 USD,,Lumen Ritual,,LB-SKIN-0003,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,LB-SKIN-GRP-002,,,,236
LB-SKIN-0004,Heritage Retinol Night Cream,"The Heritage Retinol Night Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0004,/mock-catalog/images/lumen-beauty/skincare-1.png,,in_stock,18.04 USD,,Lumen Skin,,LB-SKIN-0004,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,LB-SKIN-GRP-002,,,,104
LB-SKIN-0005,Essential Hydrating Moisturizer,"The Essential Hydrating Moisturizer from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0005,/mock-catalog/images/lumen-beauty/skincare-2.png,,in_stock,65.72 USD,,Lumen,,LB-SKIN-0005,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,LB-SKIN-GRP-003,,,,121
LB-SKIN-0006,Classic Vitamin C Serum,"The Classic Vitamin C Serum from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0006,/mock-catalog/images/lumen-beauty/skincare-3.png,,out_of_stock,49.50 USD,,Lumen Skin,,LB-SKIN-0006,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,LB-SKIN-GRP-003,,,,91
LB-SKIN-0007,Essential Eye Cream,"The Essential Eye Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0007,/mock-catalog/images/lumen-beauty/skincare-1.png,,in_stock,29.82 USD,25.41 USD,Lumen Skin,,LB-SKIN-0007,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,LB-SKIN-GRP-004,,,,109
LB-SKIN-0008,Luxe Retinol Night Cream,"The Luxe Retinol Night Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0008,/mock-catalog/images/lumen-beauty/skincare-2.png,,in_stock,83.46 USD,,Lumen,,LB-SKIN-0008,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,LB-SKIN-GRP-004,,,,125
LB-SKIN-0009,Aero Vitamin C Serum,"The Aero Vitamin C Serum from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0009,/mock-catalog/images/lumen-beauty/skincare-3.png,,in_stock,74.96 USD,,Lumen Skin,,LB-SKIN-0009,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,LB-SKIN-GRP-005,,,,95
LB-SKIN-0010,Essential Retinol Night Cream,"The Essential Retinol Night Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0010,/mock-catalog/images/lumen-beauty/skincare-1.png,,in_stock,22.30 USD,,Lumen Skin,,LB-SKIN-0010,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,LB-SKIN-GRP-005,,,,3
