id,title,description,link,brand,gtin,mpn,image_link,additional_image_link,video_link,model_3d_link,condition,google_product_category,product_category,age_group,material,length,width,height,weight,item_group_id,item_group_title,color,size,size_system,gender,availability,availability_date,expiration_date,inventory_not_tracked,inventory_quantity,price,sale_price,sale_price_effective_date,stripe_product_tax_code,tax_behavior,applicable_fees,shipping,free_shipping_threshold,delete
LB-SKIN-0001,Rugged Eye Cream,"The Rugged Eye Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0001,Lumen,,LB-SKIN-0001,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-1.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.51 lb,LB-SKIN-GRP-001,Skincare,,,,unisex,in_stock,,,,71,33.13 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0002,Alpine Gentle Cleanser,"The Alpine Gentle Cleanser from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0002,Lumen Skin,,LB-SKIN-0002,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-2.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.5 lb,LB-SKIN-GRP-001,Skincare,,,,unisex,in_stock,,,,144,34.72 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0003,Essential Vitamin C Serum,"The Essential Vitamin C Serum from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0003,Lumen Ritual,,LB-SKIN-0003,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-3.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.51 lb,LB-SKIN-GRP-002,Skincare,,,,unisex,in_stock,,,,236,20.69 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0004,Heritage Retinol Night Cream,"The Heritage Retinol Night Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0004,Lumen Skin,,LB-SKIN-0004,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-1.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.45 lb,LB-SKIN-GRP-002,Skincare,,,,unisex,in_stock,,,,104,18.04 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0005,Essential Hydrating Moisturizer,"The Essential Hydrating Moisturizer from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0005,Lumen,,LB-SKIN-0005,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-2.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.53 lb,LB-SKIN-GRP-003,Skincare,,,,unisex,in_stock,,,,121,65.72 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0006,Classic Vitamin C Serum,"The Classic Vitamin C Serum from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0006,Lumen Skin,,LB-SKIN-0006,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-3.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.47 lb,LB-SKIN-GRP-003,Skincare,,,,unisex,out_of_stock,,,,91,49.50 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0007,Essential Eye Cream,"The Essential Eye Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0007,Lumen Skin,,LB-SKIN-0007,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-1.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.52 lb,LB-SKIN-GRP-004,Skincare,,,,unisex,in_stock,,,,109,29.82 USD,25.41 USD,2026-07-01/2026-12-31,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0008,Luxe Retinol Night Cream,"The Luxe Retinol Night Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0008,Lumen,,LB-SKIN-0008,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-2.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.45 lb,LB-SKIN-GRP-004,Skincare,,,,unisex,in_stock,,,,125,83.46 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0009,Aero Vitamin C Serum,"The Aero Vitamin C Serum from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0009,Lumen Skin,,LB-SKIN-0009,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-3.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.53 lb,LB-SKIN-GRP-005,Skincare,,,,unisex,in_stock,,,,95,74.96 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0010,Essential Retinol Night Cream,"The Essential Retinol Night Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0010,Lumen Skin,,LB-SKIN-0010,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-1.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.46 lb,LB-SKIN-GRP-005,Skincare,,,,unisex,in_stock,,,,3,22.30 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0011,Rugged Retinol Night Cream,"The Rugged Retinol Night Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0011,Lumen Skin,,LB-SKIN-0011,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-2.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.55 lb,LB-SKIN-GRP-006,Skincare,,,,unisex,in_stock,,,,82,39.56 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0012,Modern Eye Cream,"The Modern Eye Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0012,Lumen,,LB-SKIN-0012,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-3.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.47 lb,LB-SKIN-GRP-006,Skincare,,,,unisex,in_stock,,,,243,86.07 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0013,Coastal Vitamin C Serum,"The Coastal Vitamin C Serum from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0013,Lumen,,LB-SKIN-0013,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-1.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.52 lb,LB-SKIN-GRP-007,Skincare,,,,unisex,in_stock,,,,65,45.01 USD,40.61 USD,2026-07-01/2026-12-31,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0014,Luxe Vitamin C Serum,"The Luxe Vitamin C Serum from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0014,Lumen Skin,,LB-SKIN-0014,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-2.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.51 lb,LB-SKIN-GRP-007,Skincare,,,,unisex,in_stock,,,,138,84.83 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SKIN-0015,Featherlight Retinol Night Cream,"The Featherlight Retinol Night Cream from Lumen Beauty, thoughtfully made, a lightweight formula for visibly healthier skin.",https://lumen-beauty.example.com/products/lb-skin-0015,Lumen,,LB-SKIN-0015,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/skincare-3.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty > Skincare,adult,,3 in,3 in,5 in,0.53 lb,LB-SKIN-GRP-008,Skincare,,,,unisex,in_stock,,,,149,84.11 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SUNS-0016,Studio Tinted SPF Cream,"The Studio Tinted SPF Cream from Lumen Beauty, thoughtfully made, broad-spectrum protection that wears beautifully.",https://lumen-beauty.example.com/products/lb-suns-0016,Lumen,,LB-SUNS-0016,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/sunscreen-1.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,Beauty > Sunscreen,adult,,3 in,3 in,5 in,0.48 lb,LB-SUNS-GRP-001,Sunscreen,,,,unisex,in_stock,,,,247,16.03 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SUNS-0017,Signature Tinted SPF Cream,"The Signature Tinted SPF Cream from Lumen Beauty, thoughtfully made, broad-spectrum protection that wears beautifully.",https://lumen-beauty.example.com/products/lb-suns-0017,Lumen Skin,,LB-SUNS-0017,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/sunscreen-2.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,Beauty > Sunscreen,adult,,3 in,3 in,5 in,0.46 lb,LB-SUNS-GRP-001,Sunscreen,,,,unisex,in_stock,,,,247,18.75 USD,,,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
LB-SUNS-0018,Modern Mineral Sunscreen,"The Modern Mineral Sunscreen from Lumen Beauty, thoughtfully made, broad-spectrum protection that wears beautifully.",https://lumen-beauty.example.com/products/lb-suns-0018,Lumen Skin,,LB-SUNS-0018,https://livgpt.vercel.app/mock-catalog/images/lumen-beauty/sunscreen-3.png,,,,new,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,Beauty > Sunscreen,adult,,3 in,3 in,5 in,0.53 lb,LB-SUNS-GRP-002,Sunscreen,,,,unisex,in_stock,,,,29,22.23 USD,19.88 USD,2026-07-01/2026-12-31,txcd_99999999,exclusive,,"US:ALL:Standard:3-5:0.00 USD,US:ALL:Expedited:1-2:9.99 USD",US:ALL:Standard:50.00 USD,
